T40: [(0, 2, 4, 'DELI'), (3, 8, 0, 'RETU'), (4, 4, 8, 'DELI'), (5, 0, 8, 'DELI'), (7, 0, 4, 'DELI'), (9, 0, 7, 'DELI')]
T41: [(0, 2, 5, 'DELI'), (3, 7, 0, 'RETU'), (4, 3, 8, 'DELI'), (5, 1, 8, 'DELI'), (7, 0, 3, 'DELI'), (9, 1, 7, 'DELI')]
T42: [(0, 1, 5, 'DELI'), (3, 6, 0, 'RETU'), (4, 3, 9, 'DELI'), (5, 1, 9, 'DELI'), (7, 1, 3, 'DELI'), (9, 1, 6, 'DELI')]
T43: [(0, 0, 5, 'DELI'), (3, 5, 0, 'RETU'), (4, 4, 9, 'DELI'), (5, 0, 9, 'DELI'), (7, 2, 3, 'DELI'), (9, 0, 6, 'DELI')]
T44: [(0, 0, 4, 'DELI'), (3, 5, 1, 'RETU'), (4, 5, 9, 'DELI'), (5, 0, 8, 'DELI'), (7, 2, 4, 'DELI'), (9, 0, 7, 'DELI')]
T45: [(0, 0, 3, 'DELI'), (4, 6, 9, 'DELI'), (5, 1, 8, 'DELI'), (7, 2, 5, 'DELI'), (9, 1, 7, 'DELI')]
T46: [(0, 1, 3, 'DELI'), (4, 7, 9, 'DELI'), (5, 2, 8, 'DELI'), (7, 1, 5, 'DELI'), (9, 1, 6, 'DELI')]
T47: [(0, 2, 3, 'DELI'), (4, 8, 9, 'DELI'), (5, 3, 8, 'DELI'), (7, 0, 5, 'DELI'), (9, 0, 6, 'DELI')]
T48: [(0, 2, 4, 'DELI'), (4, 9, 9, 'DELI'), (5, 4, 8, 'DELI'), (7, 0, 4, 'DELI'), (9, 0, 7, 'DELI')]
T49: [(0, 2, 5, 'DELI'), (4, 9, 8, 'DELI'), (5, 5, 8, 'DELI'), (7, 0, 3, 'DELI'), (9, 1, 7, 'DELI')]
T50: [(0, 1, 5, 'DELI'), (4, 8, 8, 'DELI'), (5, 6, 8, 'DELI'), (7, 1, 3, 'DELI'), (9, 1, 6, 'DELI')]
T51: [(0, 0, 5, 'DELI'), (4, 8, 9, 'DELI'), (5, 6, 9, 'DELI'), (7, 2, 3, 'DELI'), (9, 0, 6, 'DELI')]
T52: [(0, 0, 4, 'DELI'), (4, 9, 9, 'DELI'), (5, 5, 9, 'DELI'), (7, 2, 4, 'DELI'), (9, 0, 7, 'DELI')]
T53: [(0, 0, 3, 'DELI'), (4, 9, 8, 'DELI'), (5, 4, 9, 'DELI'), (7, 2, 5, 'DELI'), (9, 1, 7, 'DELI')]
T54: [(0, 1, 3, 'DELI'), (4, 8, 8, 'DELI'), (5, 3, 9, 'DELI'), (7, 1, 5, 'DELI'), (9, 1, 6, 'DELI')]
T55: [(0, 2, 3, 'DELI'), (4, 7, 8, 'DELI'), (5, 2, 9, 'DELI'), (7, 0, 5, 'DELI'), (9, 0, 6, 'DELI')]
T56: [(0, 2, 4, 'DELI'), (4, 6, 8, 'DELI'), (5, 1, 9, 'DELI'), (7, 0, 4, 'DELI'), (9, 0, 7, 'DELI')]
T57: [(0, 2, 5, 'DELI'), (4, 5, 8, 'DELI'), (5, 0, 9, 'DELI'), (7, 0, 3, 'DELI'), (9, 1, 7, 'DELI')]
T58: [(0, 1, 5, 'DELI'), (4, 4, 8, 'DELI'), (5, 0, 8, 'DELI'), (7, 1, 3, 'DELI'), (9, 1, 6, 'DELI')]
T59: [(0, 0, 5, 'DELI'), (4, 3, 8, 'DELI'), (5, 1, 8, 'DELI'), (7, 2, 3, 'DELI'), (9, 0, 6, 'DELI')]
T60: [(0, 0, 4, 'DELI'), (4, 3, 9, 'DELI'), (5, 1, 9, 'DELI'), (7, 2, 4, 'DELI'), (9, 0, 7, 'DELI')]
T61: [(0, 0, 3, 'DELI'), (4, 4, 9, 'DELI'), (5, 0, 9, 'DELI'), (7, 2, 5, 'DELI'), (9, 1, 7, 'DELI')]
T62: [(0, 1, 3, 'DELI'), (4, 5, 9, 'DELI'), (5, 0, 8, 'DELI'), (7, 1, 5, 'DELI'), (9, 1, 6, 'DELI')]
T63: [(0, 2, 3, 'DELI'), (4, 6, 9, 'DELI'), (5, 1, 8, 'DELI'), (7, 0, 5, 'DELI'), (9, 0, 6, 'DELI')]
T64: [(0, 2, 4, 'DELI'), (4, 7, 9, 'DELI'), (5, 2, 8, 'DELI'), (7, 0, 4, 'DELI'), (9, 0, 7, 'DELI')]
T65: [(0, 2, 5, 'DELI'), (4, 8, 9, 'DELI'), (5, 3, 8, 'DELI'), (7, 0, 3, 'DELI'), (9, 1, 7, 'DELI')]
T66: [(0, 1, 5, 'DELI'), (4, 9, 9, 'DELI'), (5, 4, 8, 'DELI'), (7, 1, 3, 'DELI'), (9, 1, 6, 'DELI')]
T67: [(0, 0, 5, 'DELI'), (4, 9, 8, 'DELI'), (5, 5, 8, 'DELI'), (7, 2, 3, 'DELI'), (9, 0, 6, 'DELI')]
T68: [(0, 0, 4, 'DELI'), (4, 8, 8, 'DELI'), (5, 6, 8, 'DELI'), (7, 2, 4, 'DELI'), (9, 0, 7, 'DELI')]
T69: [(0, 0, 3, 'DELI'), (4, 8, 9, 'DELI'), (5, 6, 9, 'DELI'), (7, 2, 5, 'DELI'), (9, 1, 7, 'DELI')]
T70: [(0, 1, 3, 'DELI'), (4, 9, 9, 'DELI'), (5, 5, 9, 'DELI'), (7, 1, 5, 'DELI'), (9, 1, 6, 'DELI')]
T71: [(0, 2, 3, 'DELI'), (4, 9, 8, 'DELI'), (5, 4, 9, 'DELI'), (7, 0, 5, 'DELI'), (9, 0, 6, 'DELI')]
T72: [(0, 2, 4, 'DELI'), (4, 8, 8, 'DELI'), (5, 3, 9, 'DELI'), (7, 0, 4, 'DELI'), (9, 0, 7, 'DELI')]
T73: [(0, 2, 5, 'DELI'), (4, 7, 8, 'DELI'), (5, 2, 9, 'DELI'), (7, 0, 3, 'DELI'), (9, 1, 7, 'DELI')]
T74: [(0, 1, 5, 'DELI'), (4, 6, 8, 'DELI'), (5, 1, 9, 'DELI'), (7, 1, 3, 'DELI'), (9, 1, 6, 'DELI')]
T75: [(0, 0, 5, 'DELI'), (4, 5, 8, 'DELI'), (5, 0, 9, 'DELI'), (7, 2, 3, 'DELI'), (9, 0, 6, 'DELI')]
T76: [(0, 0, 4, 'DELI'), (4, 4, 8, 'DELI'), (5, 0, 8, 'DELI'), (7, 2, 4, 'DELI'), (9, 0, 7, 'DELI')]
T77: [(0, 0, 3, 'DELI'), (4, 3, 8, 'DELI'), (5, 1, 8, 'DELI'), (7, 2, 5, 'DELI'), (9, 1, 7, 'DELI')]
T78: [(0, 1, 3, 'DELI'), (4, 3, 9, 'DELI'), (5, 1, 9, 'DELI'), (7, 1, 5, 'DELI'), (9, 1, 6, 'DELI')]
T79: [(0, 2, 3, 'DELI'), (4, 4, 9, 'DELI'), (5, 0, 9, 'DELI'), (7, 0, 5, 'DELI'), (9, 0, 6, 'DELI')]
T80: [(0, 2, 4, 'DELI'), (4, 5, 9, 'DELI'), (5, 0, 8, 'DELI'), (7, 0, 4, 'DELI'), (9, 0, 7, 'DELI')]
